Model,Metric,Mean,Std,Median,Q1,Q3,IQR,Min,Max,N
QP-thermo-hard HistoryGNO,Cyclic disp. rel. L2,75.4893,19.8058,76.2341,62.2969,77.8714,15.5745,51.1077,109.937,5
QP-thermo-hard HistoryGNO,Cyclic history rel. L2,2.20205,0.0127427,2.20716,2.20588,2.20856,0.00267506,2.17686,2.21176,5
QP-thermo-hard HistoryGNO,History-increment rel. L2,0.999867,0.000436827,1.00002,0.999994,1.00009,9.7096e-05,0.999009,1.00023,5
QP-thermo-hard HistoryGNO,QP history rel. L2,3.38585,0.0180118,3.39302,3.39124,3.39523,0.00398493,3.35025,3.3995,5
QP-thermo-hard HistoryGNO,QP history-inc. rel. L2,1.00001,0.000474636,1.00015,1.00007,1.0002,0.000128388,0.999106,1.00051,5
QP-thermo-hard HistoryGNO,Eqp increment rel. L2,13.4266,7.26625,10.1737,10.0948,13.4122,3.31734,6.22536,27.227,5
QP-thermo-hard HistoryGNO,Plastic-work inc. rel. L2,14.5441,8.66796,10.5784,10.5131,14.1985,3.68541,6.28994,31.1405,5
QP-thermo-hard HistoryGNO,Reversal hist-inc. rel. L2,0.999682,0.000948941,1.00008,0.999992,1.00016,0.000168681,0.997802,1.00038,5
QP-thermo-hard HistoryGNO,Reversal yield-flag MAE,0.862262,0.00285602,0.863681,0.863404,0.863833,0.00042814,0.856559,0.863834,5
QP-thermo-hard HistoryGNO,Yield-surface RMS,9.53693e-06,1.48306e-05,3.02954e-06,7.12702e-08,5.61626e-06,5.54499e-06,6.04446e-08,3.89071e-05,5
QP-thermo-hard HistoryGNO,Plastic-work violation abs.,0,0,0,0,0,0,0,0,5
QP-thermo-hard HistoryGNO,Plastic-work violation target-norm.,0,0,0,0,0,0,0,0,5
QP-thermo-hard HistoryGNO,Plastic-work violation pred-norm.,0,0,0,0,0,0,0,0,5
QP-thermo-hard HistoryGNO,FEM residual rel. RMS,172.288,113.83,162.102,90.6651,202.123,111.458,37.128,369.423,5
QP-thermo-hard HistoryGNO,FEM energy rel. err.,14690,15599.9,7539.66,4286.3,17522.6,13236.3,359.375,43742.1,5
